[graph] 63905 segments Overture
[graph] 73034 arêtes, 61085 nœuds (34804 segments exclus)
[route] plus court chemin : 7415 m, pente max 9.3%
[route] palier +11% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [378 plus courts chemins]
[route] palier +12% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [410 plus courts chemins]
[route] palier +13% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [442 plus courts chemins]
[route] palier +14% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [474 plus courts chemins]
[route] palier +15% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [506 plus courts chemins]
[route] palier +16% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [538 plus courts chemins]
[route] palier +17% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [570 plus courts chemins]
[route] palier +18% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [602 plus courts chemins]
[route] palier +19% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [634 plus courts chemins]
[route] palier +20% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [666 plus courts chemins]
[route] palier +21% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [698 plus courts chemins]
[route] palier +22% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [730 plus courts chemins]
[route] palier +23% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [762 plus courts chemins]
[route] palier +24% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [794 plus courts chemins]
[route] palier +25% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [826 plus courts chemins]
[route] palier +26% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [858 plus courts chemins]
[route] palier +27% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [890 plus courts chemins]
[route] palier +28% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [922 plus courts chemins]
[route] palier +29% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [954 plus courts chemins]
[route] palier +30% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [986 plus courts chemins]
[route] palier +31% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1018 plus courts chemins]
[route] palier +32% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1050 plus courts chemins]
[route] palier +33% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1082 plus courts chemins]
[route] palier +34% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1114 plus courts chemins]
[route] palier +35% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1146 plus courts chemins]
[route] palier +36% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1178 plus courts chemins]
[route] palier +37% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1210 plus courts chemins]
[route] palier +38% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1242 plus courts chemins]
[route] palier +39% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1274 plus courts chemins]
[route] palier +40% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1306 plus courts chemins]
[route] palier +41% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1338 plus courts chemins]
[route] palier +42% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1370 plus courts chemins]
[route] palier +43% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1402 plus courts chemins]
[route] palier +44% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1434 plus courts chemins]
[route] palier +45% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1466 plus courts chemins]
[route] palier +46% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1498 plus courts chemins]
[route] palier +47% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1530 plus courts chemins]
[route] palier +48% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [1562 plus courts chemins]
[route] palier +49% : 11008 m (+48.5%), pente max 5.6%, raide 0 m, D+ 99 m, douceur 343  [1594 plus courts chemins]
[route] palier +50% : 11008 m (+48.5%), pente max 5.6%, raide 0 m, D+ 99 m, douceur 343 — identique au palier +49%  [1626 plus courts chemins]
[route] palier +51% : 11008 m (+48.5%), pente max 5.6%, raide 0 m, D+ 99 m, douceur 343 — identique au palier +49%  [1658 plus courts chemins]
[route] palier +52% : 11008 m (+48.5%), pente max 5.6%, raide 0 m, D+ 99 m, douceur 343 — identique au palier +49%  [1690 plus courts chemins]
[route] palier +53% : 11008 m (+48.5%), pente max 5.6%, raide 0 m, D+ 99 m, douceur 343 — identique au palier +49%  [1722 plus courts chemins]
[route] palier +54% : 11008 m (+48.5%), pente max 5.6%, raide 0 m, D+ 99 m, douceur 343 — identique au palier +49%  [1754 plus courts chemins]
[route] palier +55% : 11008 m (+48.5%), pente max 5.6%, raide 0 m, D+ 99 m, douceur 343 — identique au palier +49%  [1786 plus courts chemins]
[route] palier +56% : 11008 m (+48.5%), pente max 5.6%, raide 0 m, D+ 99 m, douceur 343 — identique au palier +49%  [1818 plus courts chemins]
[route] palier +57% : 11008 m (+48.5%), pente max 5.6%, raide 0 m, D+ 99 m, douceur 343 — identique au palier +49%  [1850 plus courts chemins]
